,count,tag,poiId,shopName,_id
0,169,饮品赞,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c5
1,99,回头客,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c6
2,61,点心好,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c7
3,50,上菜快,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c8
4,27,菜品精致,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c9
5,15,肉类好,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833ca
6,5,主食赞,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833cb
7,7,朋友聚餐,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833cc
8,5,闺蜜聚会,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833cd
9,4,下午茶,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833ce
,count,tag,poiId,shopName,_id
0,21,环境优雅,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac3
1,13,饮品赞,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac4
2,9,价格实惠,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac5
3,8,分量足,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac6
4,8,干净整洁,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac7
5,7,性价比高,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac8
6,6,味道赞,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac9
7,5,上菜快,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383aca
8,4,服务热情,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383acb
9,3,回头客,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383acc
,count,tag,poiId,shopName,_id
0,221,服务热情,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b13
1,173,味道赞,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b14
2,165,点心好,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b15
3,115,性价比高,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b16
4,82,价格实惠,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b17
5,53,回头客,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b18
6,43,环境优雅,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b19
7,12,饮品赞,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b1a
8,6,分量足,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b1b
9,20,装修好看,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b1c
,count,tag,poiId,shopName,_id
0,139,点心好,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fb9
1,112,服务热情,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fba
2,94,味道赞,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fbb
3,49,性价比高,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fbc
4,47,价格实惠,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fbd
5,36,回头客,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fbe
6,9,菜品精致,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fbf
7,5,饮品赞,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fc0
8,4,分量足,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fc1
9,3,上菜快,5809680,美合蛋糕坊,5ddb7c6e0674af3657383fc2
""
""
,count,tag,poiId,shopName,_id
0,245,点心好,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc1367c
1,186,味道赞,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc1367d
2,137,环境优雅,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc1367e
3,67,回头客,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc1367f
4,56,饮品赞,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc13680
5,22,菜品不错,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc13681
6,8,上菜快,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc13682
7,9,下午茶,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc13683
8,3,朋友聚餐,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc13684
9,3,分量少,2222696,佳利饼家（文光店）,5ddb853a75e7e7199fc13685
,count,tag,poiId,shopName,_id
0,157,菜品不错,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d2a
1,126,肉类好,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d2b
2,118,上菜快,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d2c
3,112,回头客,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d2d
4,65,分量足,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d2e
5,18,停车方便,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d2f
6,16,海鲜棒,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d30
7,6,交通便利,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d31
8,13,深夜食堂,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d32
9,5,朋友聚餐,933468,斗笠翁烤活鱼（汕头旗舰店）,5ddb85e175e7e7199fc13d33
,count,tag,poiId,shopName,_id
0,120,服务热情,52807281,海角七号,5ddb861175e7e7199fc14540
1,86,味道赞,52807281,海角七号,5ddb861175e7e7199fc14541
2,49,环境优雅,52807281,海角七号,5ddb861175e7e7199fc14542
3,36,点心好,52807281,海角七号,5ddb861175e7e7199fc14543
4,24,菜品精致,52807281,海角七号,5ddb861175e7e7199fc14544
5,22,回头客,52807281,海角七号,5ddb861175e7e7199fc14545
6,21,上菜快,52807281,海角七号,5ddb861175e7e7199fc14546
7,13,饮品赞,52807281,海角七号,5ddb861175e7e7199fc14547
8,4,交通便利,52807281,海角七号,5ddb861175e7e7199fc14548
9,13,分量少,52807281,海角七号,5ddb861175e7e7199fc14549
,count,tag,poiId,shopName,_id
0,610,点心好,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14720
1,610,味道赞,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14721
2,206,回头客,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14722
3,33,上菜快,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14723
4,29,菜品精致,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14724
5,7,高大上,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14725
6,5,主食赞,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14726
7,22,现做现卖,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14727
8,7,朋友聚餐,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14728
9,24,分量少,4281380,华荣西饼屋（和惠店）,5ddb87ce75e7e7199fc14729
,count,tag,poiId,shopName,_id
0,96,味道赞,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157f6
1,64,回头客,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157f7
2,53,主食赞,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157f8
3,49,饮品赞,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157f9
4,42,上菜快,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157fa
5,38,点心好,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157fb
6,37,肉类好,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157fc
7,8,高大上,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157fd
8,6,朋友聚餐,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157fe
9,14,分量少,41136323,鸳鸯奶茶,5ddb881375e7e7199fc157ff
,count,tag,poiId,shopName,_id
0,153,上菜快,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba2
1,95,回头客,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba3
2,15,海鲜棒,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba4
3,11,主食赞,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba5
4,9,肉类好,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba6
5,45,闺蜜聚会,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba7
6,13,弄堂小店,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba8
7,8,下午茶,6172056,闺蜜寿司,5ddb889975e7e7199fc15ba9
8,6,现做现卖,6172056,闺蜜寿司,5ddb889975e7e7199fc15baa
9,5,朋友聚餐,6172056,闺蜜寿司,5ddb889975e7e7199fc15bab
