,ip,anonymous,type,address,responseTime,finalVerifyTime
0,139.196.137.255:8118,高匿名,HTTP,中国 上海 上海 阿里云,3秒,2019-11-20 20:31:01
1,120.25.90.253:8118,高匿名,HTTP,广东省深圳市 阿里云计算有限公司 阿里云,0.5秒,2019-11-20 17:31:01
2,106.75.177.227:8111,高匿名,HTTP,广东省广州市 优刻得信息科技有限公司 BGP多线,1秒,2019-11-20 15:31:01
3,118.24.246.249:80,高匿名,HTTP,重庆市重庆市 腾讯云计算（北京）有限责任公司 腾讯云,0.4秒,2019-11-20 13:31:01
4,112.35.68.130:8888,高匿名,HTTP,北京市北京市  移动,1秒,2019-11-20 03:31:01
5,39.108.75.5:8000,高匿名,HTTP,广东省深圳市  阿里云,3秒,2019-11-20 02:31:01
6,118.89.24.136:88,高匿名,HTTP,广东省广州市 腾讯云计算（北京）有限责任公司 腾讯云,2秒,2019-11-20 01:31:01
7,27.188.64.70:8060,高匿名,HTTP,河北省邯郸市  电信,0.5秒,2019-11-19 20:31:01
